192.168.1.16, 2021-01-27 10:19:06, GET, /Dipmelsa/static/js/web2py.js, HTTP/1.1, 200, 0.001000
192.168.1.16, 2021-01-27 10:19:06, GET, /Dipmelsa/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000000
192.168.1.16, 2021-01-27 10:19:06, GET, /Dipmelsa/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000999
192.168.1.16, 2021-01-27 10:19:06, GET, /Dipmelsa/static/images/background.jpg, HTTP/1.1, 404, 0.000000
192.168.1.16, 2021-01-27 10:19:07, GET, /Dipmelsa/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
192.168.1.21, 2021-01-27 10:19:20, GET, /Dipmelsa/default/index, HTTP/1.1, 200, 0.111027
192.168.1.21, 2021-01-27 10:19:21, GET, /Dipmelsa/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002001
192.168.1.21, 2021-01-27 10:19:21, GET, /Dipmelsa/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000000
192.168.1.21, 2021-01-27 10:19:21, GET, /Dipmelsa/static/css/calendar.css, HTTP/1.1, 200, 0.002001
192.168.1.21, 2021-01-27 10:19:21, GET, /Dipmelsa/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001001
192.168.1.21, 2021-01-27 10:19:21, GET, /Dipmelsa/static/js/jquery.js, HTTP/1.1, 200, 0.001000
192.168.1.21, 2021-01-27 10:19:21, GET, /Dipmelsa/static/js/calendar.js, HTTP/1.1, 200, 0.001000
192.168.1.21, 2021-01-27 10:19:21, GET, /Dipmelsa/static/js/web2py.js, HTTP/1.1, 200, 0.001001
192.168.1.21, 2021-01-27 10:19:21, GET, /Dipmelsa/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001165
192.168.1.21, 2021-01-27 10:19:21, GET, /Dipmelsa/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001165
192.168.1.21, 2021-01-27 10:19:23, GET, /Dipmelsa/static/images/background.jpg, HTTP/1.1, 404, 0.000000
192.168.1.21, 2021-01-27 10:19:23, GET, /Dipmelsa/static/images/favicon.ico, HTTP/1.1, 200, 0.000236
192.168.1.21, 2021-01-27 10:19:23, GET, /Dipmelsa/static/images/favicon.png, HTTP/1.1, 200, 0.000000
192.168.1.21, 2021-01-27 10:24:34, GET, /Dipmelsa/default/index, HTTP/1.1, 200, 0.115026
192.168.1.21, 2021-01-27 10:24:34, GET, /Dipmelsa/static/images/background.jpg, HTTP/1.1, 404, 0.001000
